Sorter0,,
ArrayLength,Runtime F,Runtime C
1777,0.001838959,
1779,0.001893792,
1781,0.001888916,
1783,0.001877042,
1785,0.001865,
1787,0.001897042,
1789,0.0018465,
1791,0.00188575,
1793,0.001939417,
1795,0.00195025,
1797,0.001868625,
1799,0.001877375,
1801,0.001919125,
1803,0.001853875,
1805,0.0019355,
1807,0.001914834,
1809,0.001928083,
1811,0.001923292,
1813,0.001901583,
1815,0.001951625,
1817,0.001902792,
1819,0.001930292,
1821,0.001928792,
1823,0.002538916,
1825,0.001965458,
1827,0.001964542,
1829,0.00197375,
1831,0.001955291,
1833,0.00195125,
1835,0.002013333,
1837,0.001995583,
1839,0.00198075,
1841,0.001996125,
1843,0.002026542,
1845,0.002044166,
1847,0.001992625,
1849,0.002064042,
1851,0.002025333,
1853,0.002045417,
1855,0.0020105,
1857,0.001955209,
1859,0.002000375,
1861,0.002087125,
1863,0.002087917,
1865,0.002122792,
1867,0.002055917,
1869,0.00202575,
1871,0.002005375,
1873,0.002039042,
1875,0.002045708,
1877,0.002013542,
1879,0.002091583,
1881,0.00214075,
1883,0.002119792,
1885,0.002104042,
1887,0.002076792,
1889,0.002071792,
1891,0.002113208,
1893,0.002121917,
1895,0.002164417,
1897,0.002103,
1899,0.002110083,
1901,0.002096333,
1903,0.003363292,
1905,0.002088,
1907,0.002180542,
1909,0.002094208,
1911,0.002148541,
1913,0.00218125,
1915,0.00209775,
1917,0.002194458,
1919,0.002150708,
1921,0.002297125,
1923,0.002277542,
1925,0.002342833,
1927,0.002183584,
1929,0.002131625,
1931,0.002163916,
1933,0.002094917,
1935,0.0021565,
1937,0.002198333,
1939,0.00227625,
1941,0.00218875,
1943,0.002210583,
1945,0.002345583,
1947,0.002195042,
1949,0.002234084,
1951,0.002275583,
1953,0.002227916,
1955,0.00222725,
1957,0.002273917,
1959,0.00226525,
1961,0.002233209,
1963,0.002272417,
1965,0.002249709,
1967,0.002308209,
1969,0.002309,
1971,0.002408791,
1973,0.002336667,
1975,0.002209792,
1977,0.0022545,
1979,0.002690709,
1981,0.002251333,
1983,0.002304875,
1985,0.002299458,
1987,0.002291416,
1989,0.00240175,
1991,0.002323375,
1993,0.002286625,
1995,0.00233,
1997,0.0024555,
1999,0.00241525,
2001,0.002402,
2003,0.002428959,
2005,0.00243225,
2007,0.002334667,
2009,0.002371667,
2011,0.002344583,
2013,0.002343625,
2015,0.002390625,
2017,0.002401917,
2019,0.002407375,
2021,0.00240975,
2023,0.002377542,
2025,0.00234225,
2027,0.002389792,
2029,0.002440625,
2031,0.002382709,
2033,0.00246175,
2035,0.002435,
2037,0.002416125,
2039,0.002451459,
2041,0.002491584,
2043,0.002403875,
2045,0.002437417,
2047,0.002418208,
2049,0.002469958,
2051,0.002451,
2053,0.003540375,
2055,0.002479875,
2057,0.002505667,
2059,0.002604333,
2061,0.002554875,
2063,0.002537416,
2065,0.002549458,
2067,0.002558458,
2069,0.002534625,
2071,0.002484042,
2073,0.0025005,
2075,0.002557,
2077,0.002570333,
2079,0.002486834,
2081,0.002608667,
2083,0.002554666,
2085,0.002655333,
2087,0.002534542,
2089,0.003949333,
2091,0.002590459,
2093,0.002576417,
2095,0.0026705,
2097,0.002564042,
2099,0.002638916,
2101,0.002608042,
2103,0.002677375,
2105,0.002573709,
2107,0.002611125,
2109,0.002598958,
2111,0.002679625,
2113,0.00264,
2115,0.002610416,
2117,0.002649125,
2119,0.002636,
2121,0.002644667,
2123,0.002617125,
2125,0.002656125,
2127,0.002601,
2129,0.002699833,
2131,0.0026735,
2133,0.002649875,
2135,0.002657583,
2137,0.002681958,
2139,0.002760208,
2141,0.002718041,
2143,0.002828917,
2145,0.004035875,
2147,0.002605791,
2149,0.002593291,
2151,0.002664416,
2153,0.002650291,
2155,0.002712458,
2157,0.002649667,
2159,0.004359584,
2161,0.0026865,
2163,0.002758041,
2165,0.002730375,
2167,0.002792416,
2169,0.002758292,
2171,0.002735583,
2173,0.002813833,
2175,0.00274575,
2177,0.002698042,
2179,0.002761541,
2181,0.002860125,
2183,0.002870833,
2185,0.0027585,
2187,0.002801875,
2189,0.00283325,
2191,0.002863167,
2193,0.002819375,
2195,0.002808042,
2197,0.00279425,
2199,0.002820125,
2201,0.002848,
2203,0.002799084,
2205,0.002839708,
2207,0.002839584,
2209,0.002873875,
2211,0.002980291,
2213,0.002974375,
2215,0.002816875,
2217,0.002779708,
2219,0.0028365,
2221,0.003028208,
2223,0.002953708,
2225,0.00296925,
2227,0.005372208,
2229,0.002984209,
2231,0.002951459,
2233,0.003007333,
2235,0.002918459,
2237,0.002944625,
2239,0.002929833,
2241,0.002949667,
2243,0.0030435,
2245,0.003084958,
2247,0.002997917,
2249,0.002981208,
2251,0.002946167,
2253,0.002990292,
2255,0.003065917,
2257,0.00291825,
2259,0.002945417,
2261,0.002924417,
2263,0.002865084,
2265,0.002893,
2267,0.0030425,
2269,0.002996166,
2271,0.003035375,
2273,0.00311225,
2275,0.003005542,
2277,0.003134167,
2279,0.003047292,
2281,0.003031833,
2283,0.00308225,
2285,0.003106125,
2287,0.00310375,
2289,0.003042667,
2291,0.003172125,
2293,0.005659833,
2295,0.003054417,
2297,0.003173042,
2299,0.00322,
2301,0.003120208,
2303,0.003033208,
2305,0.00317325,
2307,0.003088416,
2309,0.00307575,
2311,0.003062958,
2313,0.003103792,
2315,0.003031084,
2317,0.003051959,
2319,0.003246833,
2321,0.003292833,
2323,0.003242958,
2325,0.003217791,
2327,0.003283625,
2329,0.003268416,
2331,0.0033185,
2333,0.003212416,
2335,0.003255833,
2337,0.003285541,
2339,0.003203375,
2341,0.003209292,
2343,0.003221458,
2345,0.003155709,
2347,0.003110125,
2349,0.003171625,
2351,0.003291875,
2353,0.003267667,
2355,0.003300958,
2357,0.0061185,
2359,0.003223833,
2361,0.003290042,
2363,0.003350667,
2365,0.00327325,
2367,0.003335958,
2369,0.003354959,
2371,0.003255084,
2373,0.003347834,
2375,0.00330675,
2377,0.003277709,
2379,0.00339125,
2381,0.003358792,
2383,0.003262042,
2385,0.003293292,
2387,0.003367083,
2389,0.003447,
2391,0.003293834,
2393,0.003302875,
2395,0.003316291,
2397,0.003329417,
2399,0.003340667,
2401,0.003399666,
2403,0.003325667,
2405,0.003301208,
2407,0.003448125,
2409,0.00340275,
2411,0.003371583,
2413,0.003319791,
2415,0.003390333,
2417,0.003469541,
2419,0.006872917,
2421,0.003418833,
2423,0.003363125,
2425,0.003466583,
2427,0.003361041,
2429,0.003558875,
2431,0.003468708,
2433,0.003452291,
2435,0.003446833,
2437,0.003581958,
2439,0.00343775,
2441,0.003450125,
2443,0.003550084,
2445,0.00349775,
2447,0.003396875,
2449,0.003572916,
2451,0.003507708,
2453,0.003509958,
2455,0.003574375,
2457,0.003571917,
2459,0.003610459,
2461,0.00369175,
2463,0.003634667,
2465,0.003602333,
2467,0.003678708,
2469,0.003670208,
2471,0.00360875,
2473,0.003497875,
2475,0.003609958,
2477,0.003529875,
2479,0.004426167,
2481,0.003542625,
2483,0.003555083,
